"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"154","MUC17","PCDH15",7.11014885987316e-06,3.22955983557844,396,66,34,63,1.33448739862484e-05,"Co_Occurence","MUC17, PCDH15","34/129"
"155","MUC16","ADAMTS12",7.6059797596845e-06,2.76323150921334,296,38,59,166,1.41384736580662e-05,"Co_Occurence","ADAMTS12, MUC16","59/204"
"156","RYR2","ADAMTS12",7.62346499642928e-06,2.76773979238671,318,43,54,144,1.41384736580662e-05,"Co_Occurence","ADAMTS12, RYR2","54/187"
"157","ADAMTS12","USH2A",8.47803781498031e-06,2.81751053766674,343,119,48,49,1.56306006913354e-05,"Co_Occurence","ADAMTS12, USH2A","48/168"
"158","CSMD1","XIRP2",8.76784826283056e-06,2.88211605481203,367,92,42,58,1.60701031210237e-05,"Co_Occurence","CSMD1, XIRP2","42/150"
"159","MUC16","COL11A1",9.59871513553977e-06,2.58477116148915,287,47,67,158,1.7490370144934e-05,"Co_Occurence","COL11A1, MUC16","67/205"
"160","MUC17","TP53",1.06048810120057e-05,2.83324850044194,253,209,68,29,1.92117409637785e-05,"Co_Occurence","MUC17, TP53","68/238"
"161","TP53","MUC16",1.09911361671796e-05,2.15428184145203,194,88,137,140,1.97967149985224e-05,"Co_Occurence","MUC16, TP53","137/228"
"162","ADAMTS12","XIRP2",1.12586762717876e-05,2.89829757988288,369,93,41,56,2.01623858735451e-05,"Co_Occurence","ADAMTS12, XIRP2","41/149"
"163","TNR","COL11A1",1.14123701049685e-05,3.01226687940163,386,78,36,59,2.03211718393313e-05,"Co_Occurence","COL11A1, TNR","36/137"
"164","APOB","PCLO",1.22113060812074e-05,3.08841629026973,391,68,35,65,2.16205844214013e-05,"Co_Occurence","APOB, PCLO","35/133"
"165","FAT3","ZFHX4",1.23359176821161e-05,2.66676203164875,333,120,52,54,2.17181649333029e-05,"Co_Occurence","FAT3, ZFHX4","52/174"
"166","ANK2","COL11A1",1.25452429058595e-05,2.92693243217538,378,75,39,67,2.19629602693619e-05,"Co_Occurence","ANK2, COL11A1","39/142"
"167","FLG","TNR",1.46253711618883e-05,2.88736480125213,374,56,39,90,2.54619971481343e-05,"Co_Occurence","FLG, TNR","39/146"
"168","TNR","CSMD3",1.54694233004478e-05,2.68360881046155,307,157,55,40,2.67822425561769e-05,"Co_Occurence","CSMD3, TNR","55/197"
"169","ZNF536","TP53",1.75851161850068e-05,2.61573456659354,247,202,75,35,3.02774038998051e-05,"Co_Occurence","TP53, ZNF536","75/237"
"170","ADAMTS12","PCDH15",1.83199536459583e-05,3.03238191320324,395,67,33,64,3.13697836403398e-05,"Co_Occurence","ADAMTS12, PCDH15","33/131"
"171","PCDH15","LRP1B",1.86092506794022e-05,2.67847561320562,327,132,52,48,3.16915032006169e-05,"Co_Occurence","LRP1B, PCDH15","52/180"
"172","CSMD1","APOB",1.89920669145774e-05,3.05987859482199,393,66,34,66,3.21681350179157e-05,"Co_Occurence","APOB, CSMD1","34/132"
"173","FAT3","LRP1B",1.91889408442274e-05,2.57536632551648,323,130,54,52,3.23263828238332e-05,"Co_Occurence","FAT3, LRP1B","54/182"
"174","FLG","SPTA1",1.9910921522488e-05,2.62240967224952,353,77,47,82,3.3362804159665e-05,"Co_Occurence","FLG, SPTA1","47/159"
"175","FAT3","TNR",2.01724348113409e-05,3.02717380252137,392,61,34,72,3.36207246855682e-05,"Co_Occurence","FAT3, TNR","34/133"
"176","USH2A","LRP1B",2.1797264890165e-05,2.27522688296087,285,107,77,90,3.6136049221096e-05,"Co_Occurence","LRP1B, USH2A","77/197"
"177","COL11A1","SPTA1",2.31671824240225e-05,2.71583935987678,364,81,43,71,3.80466207408527e-05,"Co_Occurence","COL11A1, SPTA1","43/152"
