"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"178","SI","RYR2",0.00730175123854194,3.51746765976764,239,38,9,16,0.0119779383834349,"Co_Occurence","RYR2, SI","9/54"
"179","MUC16","ZFHX4",0.00745558080397472,2.97940353277805,229,27,12,34,0.0121664177610554,"Co_Occurence","MUC16, ZFHX4","12/61"
"180","MUC16","LRP1B",0.00772000264922302,3.32493760565287,234,22,11,35,0.0125324718331543,"Co_Occurence","LRP1B, MUC16","11/57"
"181","PRDM9","FAT3",0.00830131397161559,4.53311153759101,259,20,6,17,0.0132018351965897,"Co_Occurence","FAT3, PRDM9","6/37"
"182","MUC4","MUC17",0.00830131397161559,4.53311153759101,259,20,6,17,0.0132018351965897,"Co_Occurence","MUC17, MUC4","6/37"
"183","PRDM9","MUC17",0.00830131397161559,4.53311153759101,259,20,6,17,0.0132018351965897,"Co_Occurence","MUC17, PRDM9","6/37"
"184","ZNF536","MUC17",0.00830131397161559,4.53311153759101,259,20,6,17,0.0132018351965897,"Co_Occurence","MUC17, ZNF536","6/37"
"185","XIRP2","KRAS",0.00889945228480088,3.57116849641439,247,25,8,22,0.0140814118430394,"Co_Occurence","KRAS, XIRP2","8/47"
"186","NEB","MUC16",0.009533326433542,3.61736322117256,242,38,8,14,0.0150083854432336,"Co_Occurence","MUC16, NEB","8/52"
"187","SPTA1","TP53",0.00968158666001071,3.02760925535533,186,89,16,11,0.0151653926378614,"Co_Occurence","SPTA1, TP53","16/100"
"188","ANK2","CSMD1",0.0101295219950031,4.30254641328324,258,17,6,21,0.0156428120435809,"Co_Occurence","ANK2, CSMD1","6/38"
"189","ANK2","PRDM9",0.0101295219950031,4.30254641328324,258,17,6,21,0.0156428120435809,"Co_Occurence","ANK2, PRDM9","6/38"
