"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"126","NF1","ATM",0.00427359069416333,3.27923543599784,1402,61,9,63,0.00958267330863713,"Co_Occurence","ATM, NF1","9/124"
"127","FAT1","KRAS",0.00430776941618786,2.41046280461355,1295,169,17,54,0.00958267330863713,"Co_Occurence","FAT1, KRAS","17/223"
"128","NF1","FAT4",0.00430836991956325,2.88433437381983,1377,86,11,61,0.00958267330863713,"Co_Occurence","FAT4, NF1","11/147"
"129","LRP2","TP53",0.0044068337001529,1.84947800618648,741,698,61,35,0.00973240658160976,"Co_Occurence","LRP2, TP53","61/733"
"130","APC","LRP1B",0.00470959288430956,2.2261365237252,1243,217,21,54,0.0103280545708543,"Co_Occurence","APC, LRP1B","21/271"
"131","FAM135B","STK11",0.00483221208445478,2.69402437776767,1367,79,12,77,0.0105231099400148,"Co_Occurence","FAM135B, STK11","12/156"
"132","PRKDC","KRAS",0.00533592245026418,2.32075591859102,1293,169,17,56,0.0115396246761769,"Co_Occurence","KRAS, PRKDC","17/225"
"133","FAM135B","ATM",0.00569120248137492,2.92092480289672,1386,60,10,79,0.012223373027008,"Co_Occurence","ATM, FAM135B","10/139"
"134","LRP1B","CDKN2A",0.00573223030072881,2.14326527762799,1241,56,21,217,0.0122274537131587,"Co_Occurence","CDKN2A, LRP1B","21/273"
"135","KEAP1","CDKN2A",0.00611521942501542,3.08024845877441,1398,68,9,60,0.0129559733580835,"Co_Occurence","CDKN2A, KEAP1","9/128"
"136","KMT2D","SMARCA4",0.00817930885735691,2.75081808118344,1381,85,10,59,0.0172123502890508,"Co_Occurence","KMT2D, SMARCA4","10/144"
"137","SPTA1","RB1",0.00886525016124549,2.35020600704014,1325,65,15,130,0.0184582459407672,"Co_Occurence","RB1, SPTA1","15/195"
"138","PRKDC","CDKN2A",0.00888949124507347,2.87976399531545,1394,68,9,64,0.0184582459407672,"Co_Occurence","CDKN2A, PRKDC","9/132"
"139","STK11","PRKDC",0.00901643496345521,2.70350310805973,1381,63,10,81,0.0185289315596014,"Co_Occurence","PRKDC, STK11","10/144"
"140","ATM","SMARCA4",0.00905898609009614,2.70316393718798,1380,85,10,60,0.0185289315596014,"Co_Occurence","ATM, SMARCA4","10/145"
"141","SMARCA4","KRAS",0.00910141118207621,2.04540076386603,1274,166,20,75,0.0185289315596014,"Co_Occurence","KRAS, SMARCA4","20/241"
"142","ATM","SETD2",0.0102193921156847,3.01806804596449,1405,60,8,62,0.020670291496126,"Co_Occurence","ATM, SETD2","8/122"
